iter	Passed	Remaining
533	840	733
534	842	732
535	844	730
536	845	729
537	847	727
538	848	725
539	851	725
540	853	724
541	855	722
542	856	720
543	857	719
544	859	717
545	860	715
546	862	714
547	864	712
548	865	711
549	867	710
550	869	708
551	871	707
552	872	705
553	874	703
554	875	702
555	877	700
556	878	699
557	880	697
558	882	695
559	884	694
560	885	693
561	887	691
562	889	690
563	891	689
564	893	687
565	894	686
566	896	684
567	898	683
568	900	682
569	902	680
570	904	679
571	905	677
572	906	675
573	908	674
574	910	672
575	911	671
576	913	669
577	916	669
578	917	667
579	919	665
580	920	663
581	922	662
582	924	660
583	926	659
584	927	658
585	929	656
586	930	654
587	932	653
588	934	651
589	936	650
590	937	648
591	939	647
592	941	646
593	943	644
594	944	642
595	946	641
596	947	639
597	950	639
598	952	637
599	954	636
600	955	634
601	956	632
602	958	631
603	961	630
604	965	630
605	967	628
606	968	627
607	970	625
608	971	623
609	973	622
610	975	620
611	977	619
612	978	617
613	980	616
614	981	614
615	983	613
616	985	611
617	988	610
618	990	609
619	991	607
620	993	606
621	995	604
622	996	603
623	998	601
624	1000	600
625	1002	599
626	1006	599
627	1008	597
628	1010	595
629	1012	594
630	1014	593
631	1016	591
632	1017	589
633	1018	588
634	1020	586
635	1022	584
636	1023	583
637	1024	581
638	1026	579
639	1027	578
640	1029	576
641	1030	574
642	1032	573
643	1033	571
644	1035	569
645	1036	567
646	1037	566
647	1040	565
648	1042	563
649	1043	561
650	1044	559
651	1045	557
652	1046	556
653	1047	554
654	1048	552
655	1049	550
656	1052	549
657	1054	547
658	1055	545
659	1056	544
660	1057	542
661	1059	540
662	1060	538
663	1061	537
664	1062	535
665	1065	534
666	1066	532
667	1067	530
668	1068	528
669	1069	526
670	1070	524
671	1071	523
672	1073	521
673	1074	519
674	1075	517
675	1077	516
676	1079	514
677	1081	513
678	1082	511
679	1083	509
680	1084	508
681	1085	506
682	1087	504
683	1088	502
684	1089	501
685	1090	499
686	1092	497
687	1092	495
688	1093	493
689	1095	492
690	1096	490
691	1097	488
692	1099	486
693	1100	485
694	1102	483
695	1103	481
696	1104	480
697	1105	478
698	1107	476
699	1108	474
700	1109	473
701	1110	471
702	1112	469
703	1114	468
704	1115	466
705	1117	465
706	1118	463
707	1120	461
708	1121	460
709	1122	458
710	1123	456
711	1126	455
712	1128	454
713	1129	452
714	1130	450
715	1131	448
716	1133	447
717	1134	445
718	1135	443
719	1136	442
720	1140	441
721	1141	439
722	1142	437
723	1143	435
724	1144	434
725	1146	432
726	1147	430
727	1148	429
728	1149	427
729	1150	425
730	1152	424
731	1153	422
732	1154	420
733	1156	419
734	1157	417
735	1158	415
736	1159	413
737	1160	412
738	1161	410
739	1164	409
740	1165	407
741	1166	405
742	1168	404
743	1169	402
744	1170	400
745	1171	398
746	1172	397
747	1173	395
748	1174	393
749	1177	392
750	1178	390
751	1179	389
752	1181	387
753	1182	385
754	1183	384
755	1184	382
756	1185	380
757	1187	378
758	1190	377
759	1191	376
760	1192	374
761	1193	372
762	1195	371
763	1196	369
764	1197	367
765	1198	366
766	1199	364
767	1202	363
768	1203	361
769	1204	359
770	1205	358
771	1207	356
772	1208	354
773	1209	353
774	1210	351
775	1211	349
776	1212	348
777	1214	346
778	1215	344
779	1217	343
780	1218	341
781	1219	340
782	1220	338
783	1221	336
784	1223	334
785	1224	333
786	1226	331
787	1227	330
788	1228	328
789	1230	327
790	1232	325
791	1233	323
792	1234	322
793	1235	320
794	1236	318
795	1239	317
796	1240	315
797	1241	314
798	1242	312
799	1243	310
800	1245	309
801	1246	307
802	1247	305
803	1248	304
804	1248	302
805	1250	301
806	1252	299
807	1253	297
808	1254	296
809	1255	294
810	1256	292
811	1257	291
812	1259	289
813	1260	288
814	1261	286
815	1264	285
816	1265	283
817	1266	281
818	1267	280
819	1269	278
820	1270	276
821	1271	275
822	1272	273
823	1273	272
824	1274	270
825	1276	268
826	1278	267
827	1279	265
828	1280	264
829	1281	262
830	1282	260
831	1283	259
832	1284	257
833	1285	255
834	1286	254
835	1288	252
836	1290	251
837	1291	249
838	1292	248
839	1293	246
840	1294	244
841	1296	243
842	1297	241
843	1298	240
844	1299	238
845	1302	237
846	1303	235
847	1304	233
848	1305	232
849	1307	230
850	1308	229
851	1309	227
852	1310	225
853	1311	224
854	1314	222
855	1316	221
856	1318	219
857	1319	218
858	1321	216
859	1322	215
860	1323	213
861	1324	212
862	1326	210
863	1327	209
864	1328	207
865	1330	205
866	1331	204
867	1332	202
868	1333	201
869	1334	199
870	1335	197
871	1336	196
872	1339	194
873	1340	193
874	1341	191
875	1343	190
876	1344	188
877	1345	186
878	1346	185
879	1347	183
880	1348	182
881	1349	180
882	1352	179
883	1353	177
884	1354	175
885	1355	174
886	1356	172
887	1358	171
888	1359	169
889	1360	168
890	1361	166
891	1364	165
892	1365	163
893	1366	162
894	1367	160
895	1368	158
896	1370	157
897	1371	155
898	1372	154
899	1373	152
900	1375	151
901	1376	149
902	1378	148
903	1379	146
904	1380	144
905	1381	143
906	1382	141
907	1384	140
908	1385	138
909	1386	137
910	1389	135
911	1390	134
912	1391	132
913	1392	131
914	1393	129
915	1395	127
916	1396	126
917	1397	124
918	1398	123
919	1400	121
920	1401	120
921	1402	118
922	1403	117
923	1404	115
924	1405	113
925	1406	112
926	1408	110
927	1409	109
928	1410	107
929	1412	106
930	1413	104
931	1414	103
932	1415	101
933	1416	100
934	1417	98
935	1419	97
936	1420	95
937	1421	93
938	1423	92
939	1425	91
940	1427	89
941	1428	87
942	1429	86
943	1430	84
944	1431	83
945	1433	81
946	1434	80
947	1435	78
948	1436	77
949	1438	75
950	1439	74
951	1441	72
952	1442	71
953	1443	69
954	1444	68
955	1445	66
956	1446	65
957	1448	63
958	1450	62
959	1451	60
960	1452	58
961	1454	57
962	1455	55
963	1456	54
964	1457	52
965	1459	51
966	1460	49
967	1461	48
968	1463	46
969	1464	45
970	1465	43
971	1466	42
972	1467	40
973	1469	39
974	1470	37
975	1471	36
976	1472	34
977	1474	33
978	1475	31
979	1477	30
980	1478	28
981	1479	27
982	1480	25
983	1481	24
984	1482	22
985	1483	21
986	1484	19
987	1487	18
988	1488	16
989	1490	15
990	1491	13
991	1492	12
992	1493	10
993	1494	9
994	1496	7
995	1497	6
996	1498	4
997	1499	3
998	1500	1
999	1501	0
